                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5008,                  31.34,                 3.4503,                0.00022,                0.36382,                0.00063,                 0.0002,                 2.2807,                 62.214,                 3.0199,              0.0003334,              0.0003334,              0.0003334
                      2,                 2.2645,                 26.185,                 3.6272,                0.00019,                0.31843,                0.00451,                0.00137,                 2.2548,                 55.129,                 2.9999,             0.00061581,             0.00061581,             0.00061581
                      3,                 2.3078,                 29.869,                 3.1702,                0.00029,                0.30623,                0.00087,                0.00029,                 2.3128,                 38.652,                  3.031,              0.0008289,              0.0008289,              0.0008289
                      4,                 2.3861,                 25.336,                 3.2318,                0.00033,                0.29404,                0.00076,                0.00027,                 2.3208,                 39.765,                 3.0104,             0.00097268,             0.00097268,             0.00097268
                      5,                 2.3677,                 21.927,                 3.4197,                0.00031,                0.31843,                0.00051,                0.00017,                 2.3352,                 32.643,                 3.3819,              0.0010069,              0.0010069,              0.0010069
                      6,                   2.16,                 21.728,                  3.142,                0.00033,                0.29404,                0.00082,                 0.0003,                 2.4149,                 40.366,                 3.0474,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.4511,                 18.276,                 3.5147,                0.00035,                0.26965,                0.00087,                0.00028,                 2.4586,                 35.055,                 3.0991,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.9755,                 25.608,                  2.675,                0.00027,                0.39499,                0.00105,                0.00028,                 2.3681,                 31.721,                 3.0363,             0.00051177,             0.00051177,             0.00051177
                      9,                 2.1313,                 18.783,                 3.0484,                0.00038,                0.29065,                0.00433,                0.00156,                 2.2412,                 31.279,                 2.9644,             0.00034674,             0.00034674,             0.00034674
                     10,                 2.5653,                  15.44,                 3.5448,                0.00041,                0.29065,                0.00272,                0.00064,                 2.2208,                 31.241,                  2.922,              0.0001817,              0.0001817,              0.0001817
